C1;C2;Num;Libellé;Sens;Affectation;Cycle;NEF;Etat;Rubrique;Catégorie;Sous Catégorie;ETAT / LF;Code Rubrique;
7;74;745;Subventions d'équilibre;745D;R.1.1.2.;G;R.02;Résultat;1. Résultat d'exploitation;1.1. Produits d’exploitation;1.1.2. Autres produits d'exploitation;F6003;F60030017;Subventions d'exploitation et d'équilibre
7;74;745;Subventions d'équilibre;745C;R.1.1.2.;G;R.02;Résultat;1. Résultat d'exploitation;1.1. Produits d’exploitation;1.1.2. Autres produits d'exploitation;F6003;F60030017;Subventions d'exploitation et d'équilibre
7;74;748;Subventions liées à une modification comptable à imputer au résultat de l'exercice ou à une activité abandonnée;748D;R.1.1.2.;G;R.02;Résultat;1. Résultat d'exploitation;1.1. Produits d’exploitation;1.1.2. Autres produits d'exploitation;F6003;F60030016;Produits divers ordin.(sans gains/cession immo.)
7;74;748;Subventions liées à une modification comptable à imputer au résultat de l'exercice ou à une activité abandonnée;748C;R.1.1.2.;G;R.02;Résultat;1. Résultat d'exploitation;1.1. Produits d’exploitation;1.1.2. Autres produits d'exploitation;F6003;F60030016;Produits divers ordin.(sans gains/cession immo.)
7;75;751;Produits des participations;751D;R.2.1.2.;S;R.11;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.2. Produits des placements;F6003;F60030066;Produits financiers
7;75;751;Produits des participations;751C;R.2.1.2.;S;R.11;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.2. Produits des placements;F6003;F60030066;Produits financiers
7;75;752;Produits des autres immobilisations financières;752D;R.2.1.2.;S;R.11;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.2. Produits des placements;F6003;F60030066;Produits financiers
7;75;752;Produits des autres immobilisations financières;752C;R.2.1.2.;S;R.11;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.2. Produits des placements;F6003;F60030066;Produits financiers
7;75;753;Revenus des autres créances;753D;R.2.1.2.;S;R.11;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.2. Produits des placements;F6003;F60030066;Produits financiers
7;75;753;Revenus des autres créances;753C;R.2.1.2.;S;R.11;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.2. Produits des placements;F6003;F60030066;Produits financiers
7;75;754;Revenus des valeurs mobilières de placement;754D;R.2.1.2.;S;R.11;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.2. Produits des placements;F6003;F60030066;Produits financiers
7;75;754;Revenus des valeurs mobilières de placement;754C;R.2.1.2.;S;R.11;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.2. Produits des placements;F6003;F60030066;Produits financiers
7;75;755;Escomptes obtenus;755D;R.2.1.1.;S;R.10;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.1. Charges financières nettes;F6003;F60030066;Produits financiers
7;75;755;Escomptes obtenus;755C;R.2.1.1.;S;R.10;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.1. Charges financières nettes;F6003;F60030066;Produits financiers
7;75;756;Gains de change;756D;R.2.1.1.;S;R.10;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.1. Charges financières nettes;F6003;F60030066;Produits financiers
7;75;756;Gains de change;756C;R.2.1.1.;S;R.10;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.1. Charges financières nettes;F6003;F60030066;Produits financiers
7;75;757;Produits nets sur cessions de valeurs mobilières;757D;R.2.1.2.;S;R.11;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.2. Produits des placements;F6003;F60030066;Produits financiers
7;75;757;Produits nets sur cessions de valeurs mobilières;757C;R.2.1.2.;S;R.11;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.2. Produits des placements;F6003;F60030066;Produits financiers
7;75;758;Produits financiers liés à une modification comptable à imputer au résultat de l'exercice ou à une activité abandonnée;758D;R.2.1.1.;S;R.10;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.1. Charges financières nettes;F6003;F60030068;Transferts de charges financiéres
7;75;758;Produits financiers liés à une modification comptable à imputer au résultat de l'exercice ou à une activité abandonnée;758C;R.2.1.1.;S;R.10;Résultat;2. Résultat des activités ordinaires;2.1. Résultat des activités ordinaires;2.1.1. Charges financières nettes;F6003;F60030068;Transferts de charges financiéres
7;77;770;Gains extraordinaires;770D;R.4.1.1.;R;R.15;Résultat;4. Eléments extraordinaires (Gains/Pertes);4.1. Eléments extraordinaires (Gains/Pertes);4.1.1. Eléments extraordinaires (Gains/Pertes);F6003;F60030082;Gains extraordinaires
7;77;770;Gains extraordinaires;770C;R.4.1.1.;R;R.15;Résultat;4. Eléments extraordinaires (Gains/Pertes);4.1. Eléments extraordinaires (Gains/Pertes);4.1.1. Eléments extraordinaires (Gains/Pertes);F6003;F60030082;Gains extraordinaires
7;78;781;Reprises sur amortissements et provisions (à inscrire dans les produits ordinaires);781D;R.1.1.2.;G;R.02;Résultat;1. Résultat d'exploitation;1.1. Produits d’exploitation;1.1.2. Autres produits d'exploitation;F6003;F60030018;Reprises sur amortissements et provisions
7;78;781;Reprises sur amortissements et provisions (à inscrire dans les produits ordinaires);781C;R.1.1.2.;G;R.02;Résultat;1. Résultat d'exploitation;1.1. Produits d’exploitation;1.1.2. Autres produits d'exploitation;F6003;F60030018;Reprises sur amortissements et provisions
7;78;786;Reprises sur provisions (à inscrire dans les produits financiers);786D;R.1.1.2.;G;R.02;Résultat;1. Résultat d'exploitation;1.1. Produits d’exploitation;1.1.2. Autres produits d'exploitation;F6003;F60030067;Reprise/prov.(é inscrire dans les pdts financ.)
7;78;786;Reprises sur provisions (à inscrire dans les produits financiers);786C;R.1.1.2.;G;R.02;Résultat;1. Résultat d'exploitation;1.1. Produits d’exploitation;1.1.2. Autres produits d'exploitation;F6003;F60030067;Reprise/prov.(é inscrire dans les pdts financ.)
7;79;790;Transferts de charges;790C;R.1.1.2.;G;R.02;Résultat;1. Résultat d'exploitation;1.1. Produits d’exploitation;1.1.2. Autres produits d'exploitation;F6003;F60030019;Transferts de charges
7;79;790;Transferts de charges;790D;R.1.1.2.;G;R.02;Résultat;1. Résultat d'exploitation;1.1. Produits d’exploitation;1.1.2. Autres produits d'exploitation;F6003;F60030019;Transferts de charges
