C1;C2;Num;Libellé;Sens;Affectation;Cycle;NEF;Etat;Rubrique;Catégorie;Sous Catégorie;ETAT / LF;Code Rubrique;
1;16;165;Emprunts non assorties de sûretés (à subdiviser selon l'ordre des comptes des emprunts);165C;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020015;Emprunts non assortis de sûretés
1;16;166;Dettes rattachées à des participations;166D;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020016;Dettes rattachées à des participations
1;16;166;Dettes rattachées à des participations;166C;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020016;Dettes rattachées à des participations
1;16;167;Dépôts & cautionnements reçus;167D;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020017;Dépôts  et  cautionnements reçus
1;16;167;Dépôts & cautionnements reçus;167C;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020017;Dépôts  et  cautionnements reçus
1;16;168;Autres emprunts et dettes;168D;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020018;Autres emprunts et dettes
1;16;168;Autres emprunts et dettes;168C;B.3.1.1.;M;P.01;Bilan;3. Passifs;3.1. Passifs non courants;3.1.1. Emprunts;F6002;F60020018;Autres emprunts et dettes
1;17;171;Comptes des liaison des établissements;171D;B.3.1.2.;M;P.02;Bilan;3. Passifs;3.1. Passifs non courants;3.1.2. Autres passifs financiers;F6002;F60020021;Autres passifs financiers
1;17;171;Comptes des liaison des établissements;171C;B.3.1.2.;M;P.02;Bilan;3. Passifs;3.1. Passifs non courants;3.1.2. Autres passifs financiers;F6002;F60020021;Autres passifs financiers
1;17;176;Biens & prestations de services échangés entre établissements (charges);176D;B.3.1.2.;M;P.02;Bilan;3. Passifs;3.1. Passifs non courants;3.1.2. Autres passifs financiers;F6002;F60020021;Autres passifs financiers
1;17;176;Biens & prestations de services échangés entre établissements (charges);176C;B.3.1.2.;M;P.02;Bilan;3. Passifs;3.1. Passifs non courants;3.1.2. Autres passifs financiers;F6002;F60020021;Autres passifs financiers
1;17;177;Biens & prestations de services échangés entre établissements (produits);177D;B.3.1.2.;M;P.02;Bilan;3. Passifs;3.1. Passifs non courants;3.1.2. Autres passifs financiers;F6002;F60020021;Autres passifs financiers
1;17;177;Biens & prestations de services échangés entre établissements (produits);177C;B.3.1.2.;M;P.02;Bilan;3. Passifs;3.1. Passifs non courants;3.1.2. Autres passifs financiers;F6002;F60020021;Autres passifs financiers
1;18;185;Écarts de conversion;185D;B.3.1.2.;M;P.02;Bilan;3. Passifs;3.1. Passifs non courants;3.1.2. Autres passifs financiers;F6002;F60020020;Ecarts de conversion
1;18;185;Écarts de conversion;185C;B.3.1.2.;M;P.02;Bilan;3. Passifs;3.1. Passifs non courants;3.1.2. Autres passifs financiers;F6002;F60020020;Ecarts de conversion
1;18;188;Autres;188D;B.3.1.2.;M;P.02;Bilan;3. Passifs;3.1. Passifs non courants;3.1.2. Autres passifs financiers;F6002;F60020052;Autres Postes des Capitaux Propres et Passifs du Bilan
1;18;188;Autres;188C;B.3.1.2.;M;P.02;Bilan;3. Passifs;3.1. Passifs non courants;3.1.2. Autres passifs financiers;F6002;F60020052;Autres Postes des Capitaux Propres et Passifs du Bilan
2;21;210;Autres immoblisations incorporelles;210D;B.1.1.1.;C;A.01;Bilan;1. Actifs;1.1. Actifs non courants;1.1.1. Immobilisations incorporelles;F6001;F60010009;Autres Immobilisations Incorporelles
2;21;211;Investissements de recherche & de développement;211D;B.1.1.1.;C;A.01;Bilan;1. Actifs;1.1. Actifs non courants;1.1.1. Immobilisations incorporelles;F6001;F60010004;Investissement recherche et developpement
2;21;212;Concessions de marques, brevets, licences, marques, procédés & valeurs similaires;212D;B.1.1.1.;C;A.01;Bilan;1. Actifs;1.1. Actifs non courants;1.1.1. Immobilisations incorporelles;F6001;F60010005;Concess. marque,brevet,licence,marque
